Next	O
plague	O
outbreak	O
in	O
Madagascar	O
could	O
be	O
'	O
stronger	O
'	O
:	O
WHO	O

Geneva	O
-	O
The	O
World	O
Health	O
Organisation	O
chief	O
on	O
Wednesday	O
said	O
a	O
deadly	O
plague	O
epidemic	O
appeared	B-PROP
to	O
have	O
been	O
brought	O
under	O
control	O
in	O
Madagascar	O
,	O
but	O
warned	O
the	O
next	O
outbreak	O
would	O
likely	O
be	O
stronger	O
.	O

"	O
The	B-PROP
next	I-PROP
transmission	I-PROP
could	I-PROP
be	I-PROP
more	I-PROP
pronounced	I-PROP
or	I-PROP
stronger	I-PROP
,	O
"	O
WHO	O
Director	O
-	O
General	O
Tedros	O
Adhanom	O
Ghebreyesus	O
told	O
reporters	O
in	O
Geneva	O
,	O
insisting	O
that	O
"	O
the	O
issue	O
is	O
serious	O
.	O
"	O

An	O
outbreak	O
of	O
both	O
bubonic	O
plague	O
,	O
which	O
is	O
spread	O
by	O
infected	O
rats	O
via	O
flea	O
bites	O
,	O
and	O
pneumonic	O
plague	O
,	O
spread	O
person	O
to	O
person	O
,	O
has	O
killed	O
more	O
than	O
200	O
people	O
in	O
the	O
Indian	O
Ocean	O
island	O
nation	O
since	O
August	O
.	O

Madagascar	O
has	O
suffered	O
bubonic	O
plague	O
outbreaks	O
almost	O
every	O
year	O
since	O
1980	O
,	O
often	O
caused	O
by	O
rats	O
fleeing	O
forest	O
fires	O
.	O

The	O
disease	O
tends	O
to	O
make	O
a	O
comeback	O
each	O
hot	O
rainy	O
season	O
,	O
from	O
September	O
to	O
April	O
.	O

On	O
average	O
,	O
between	O
300	O
and	O
600	O
infections	O
are	O
recorded	O
every	O
year	O
among	O
a	O
population	O
approaching	O
25	O
million	O
people	O
,	O
according	O
to	O
a	O
UN	O
estimate	O
.	O

But	O
Tedros	O
voiced	O
alarm	O
that	O
"	O
plague	O
in	O
Madagascar	O
behaved	O
in	O
a	B-PROP
very	I-PROP
,	I-PROP
very	I-PROP
different	I-PROP
way	O
this	O
year	O
.	O
"	O

Cases	O
sprang	O
up	O
far	O
earlier	O
than	O
usual	O
and	O
,	O
instead	O
of	O
being	O
confined	O
to	O
the	O
countryside	O
,	O
the	O
disease	O
infiltrated	O
towns	O
.	O

The	O
authorities	O
recorded	O
more	O
than	O
2	O
000	O
cases	O
,	O
and	O
Tedros	O
said	O
Wednesday	O
the	O
death	O
toll	O
stood	O
at	O
207	O
.	O

He	B-PROP
also	I-PROP
pointed	I-PROP
to	I-PROP
the	I-PROP
presence	I-PROP
of	I-PROP
the	I-PROP
pneumonic	I-PROP
version	I-PROP
,	I-PROP
which	I-PROP
spreads	I-PROP
more	I-PROP
easily	I-PROP
and	I-PROP
is	I-PROP
more	I-PROP
virulent	I-PROP
,	I-PROP
in	I-PROP
the	I-PROP
latest	I-PROP
outbreak	I-PROP
.	O

He	O
praised	O
the	O
rapid	O
response	O
from	O
WHO	O
and	O
Madagascar	O
authorities	O
that	O
helped	O
bring	O
the	O
outbreak	O
under	O
control	O
,	O
but	B-PROP
warned	I-PROP
that	I-PROP
the	I-PROP
danger	I-PROP
was	I-PROP
not	I-PROP
over	I-PROP
.	O

The	O
larger	O
-	O
than	O
-	O
usual	O
outbreak	O
had	O
helped	O
spread	O
the	O
bacteria	O
that	O
causes	O
the	O
plague	O
more	O
widely	O
.	O

This	O
along	O
with	O
poor	O
sanitation	O
and	O
vector	O
control	O
on	O
Madagascar	O
meant	O
that	O
"	O
when	B-PROP
(	I-PROP
the	I-PROP
plague	I-PROP
)	I-PROP
comes	I-PROP
again	I-PROP
it	I-PROP
starts	I-PROP
from	I-PROP
more	I-PROP
stock	I-PROP
,	I-PROP
and	I-PROP
the	I-PROP
magnitude	I-PROP
in	I-PROP
the	I-PROP
next	I-PROP
transmission	I-PROP
could	I-PROP
be	I-PROP
higher	I-PROP
than	I-PROP
the	I-PROP
one	I-PROP
that	I-PROP
we	I-PROP
saw	I-PROP
,	O
"	O
Tedros	O
said	O
.	O

"	O
That	O
means	O
that	O
Madagascar	O
could	O
be	O
affected	O
more	O
,	O
and	O
not	O
only	O
that	O
,	O
it	B-PROP
could	I-PROP
even	I-PROP
spill	I-PROP
over	I-PROP
into	I-PROP
neighbouring	I-PROP
countries	I-PROP
and	I-PROP
beyond	I-PROP
,	O
"	O
he	O
warned	O
.	O

Complicating	O
vector	O
control	O
is	O
the	O
fact	O
that	O
the	O
fleas	O
that	O
carry	O
the	O
Yersinia	O
pestis	O
bacteria	O
that	O
causes	O
the	O
plague	O
have	O
proven	O
to	O
be	O
widely	O
resistant	O
to	O
chemicals	O
and	O
insecticides	O
.	O

"	O
That	O
's	O
a	O
dangerous	O
combination	O
,	O
"	O
Tedros	O
said	O
.	O

US	O
bloggers	O
banned	O
from	O
entering	O
UK	O

Two	O
prominent	O
US	O
bloggers	O
have	O
been	O
banned	O
from	O
entering	O
the	O
UK	O
,	O
the	O
Home	O
Office	O
has	O
said	O
.	O

Pamela	O
Geller	O
and	O
Robert	O
Spencer	O
co	O
-	O
founded	O
anti	O
-	O
Muslim	O
group	O
Stop	B-PROP
Islamization	I-PROP
of	I-PROP
America	I-PROP
.	O

They	O
were	O
due	O
to	O
speak	O
at	O
an	O
English	O
Defence	O
League	O
march	O
in	O
Woolwich	O
,	O
where	O
Drummer	O
Lee	O
Rigby	O
was	O
killed	O
.	O

A	O
government	O
spokesman	O
said	O
individuals	O
whose	O
presence	O
"	O
is	O
not	O
conducive	O
to	O
the	O
public	O
good	O
"	O
could	O
be	O
excluded	O
by	O
the	O
home	O
secretary	O
.	O

He	O
added	O
:	O
"	O
We	B-PROP
condemn	I-PROP
all	I-PROP
those	I-PROP
whose	I-PROP
behaviours	I-PROP
and	I-PROP
views	I-PROP
run	I-PROP
counter	I-PROP
to	I-PROP
our	I-PROP
shared	I-PROP
values	I-PROP
and	O
will	O
not	O
stand	O
for	O
extremism	O
in	O
any	O
form	O
.	O
"	O

'	O
Right	O
decision	O
'	O

Ms	O
Geller	O
,	O
of	O
the	O
Atlas	O
Shrugs	O
blog	O
,	O
and	O
Mr	O
Spencer	O
,	O
of	O
Jihad	O
Watch	O
,	O
are	O
also	O
co	O
-	O
founders	O
of	O
the	O
American	O
Freedom	O
Defense	O
Initiative	O
,	O
best	O
known	O
for	O
a	O
pro	O
-	O
Israel	O
"	O
Defeat	B-PROP
Jihad	I-PROP
"	I-PROP
poster	O
campaign	O
on	O
the	O
New	O
York	O
subway	O
.	O

On	O
both	O
of	O
their	O
blogs	O
the	O
pair	O
called	O
their	O
bans	O
from	O
entering	O
the	O
UK	O
"	O
a	B-PROP
striking	I-PROP
blow	I-PROP
against	I-PROP
freedom	I-PROP
"	O
and	O
said	O
the	O
"	O
the	B-PROP
nation	I-PROP
that	I-PROP
gave	I-PROP
the	I-PROP
world	I-PROP
the	I-PROP
Magna	I-PROP
Carta	I-PROP
is	I-PROP
dead	I-PROP
"	I-PROP
.	O

They	O
were	O
due	O
to	O
attend	O
a	O
march	O
planned	O
by	O
the	O
far	O
-	O
right	O
EDL	O
to	O
mark	O
Armed	O
Forces	O
Day	O
on	O
29	O
June	O
,	O
ending	O
in	O
Woolwich	O
,	O
south	O
east	O
London	O
,	O
where	O
soldier	O
Drummer	O
Rigby	O
was	O
murdered	O
last	O
month	O
.	O

Keith	O
Vaz	O
,	O
chairman	O
of	O
the	O
Home	O
Affairs	O
Select	O
Committee	O
,	O
who	O
had	O
called	O
for	O
the	O
bloggers	O
to	O
be	O
banned	O
from	O
the	O
UK	O
,	O
said	O
:	O
"	O
I	O
welcome	O
the	O
home	O
secretary	O
's	O
ban	O
on	O
Pamela	O
Geller	O
and	O
Robert	O
Spencer	O
from	O
entering	O
the	O
country	O
.	O

This	O
is	O
the	O
right	O
decision	O
.	O

The	B-PROP
UK	I-PROP
should	I-PROP
never	I-PROP
become	I-PROP
a	I-PROP
stage	I-PROP
for	I-PROP
inflammatory	I-PROP
speakers	I-PROP
who	I-PROP
promote	I-PROP
hate	I-PROP
.	I-PROP
"	I-PROP

EDL	O
leader	O
Tommy	O
Robinson	O
,	O
meanwhile	O
,	O
criticised	O
the	O
decision	O
and	O
said	O
Ms	O
Geller	O
and	O
Mr	O
Spencer	O
were	O
coming	O
to	O
the	O
UK	O
to	O
lay	O
flowers	O
at	O
the	O
place	O
where	O
Drummer	O
Rigby	O
died	O
.	O

"	O
It	O
's	O
embarrassing	O
for	O
this	O
so	B-PROP
-	I-PROP
called	I-PROP
land	I-PROP
of	I-PROP
democracy	I-PROP
and	I-PROP
freedom	I-PROP
of	I-PROP
speech	I-PROP
,	O
"	O
he	O
said	O
.	O

"	O
How	O
many	O
hate	B-PROP
preachers	I-PROP
are	O
living	O
in	O
this	O
country	O
?	O

It	O
just	O
shows	O
what	O
sort	O
of	O
a	O
two	O
-	O
tier	O
system	O
we	O
have	O
here	O
.	O
"	O

'	O
Foster	O
hatred	O
'	O

Anti	O
-	O
fascism	O
campaigners	O
Hope	O
Not	O
Hate	O
had	O
campaigned	O
for	O
the	O
pair	O
to	O
not	O
be	O
allowed	O
into	O
the	O
UK	O
.	O

A	O
researcher	O
with	O
the	O
organisation	O
,	O
Matthew	O
Collins	O
,	O
said	O
it	O
was	O
"	O
delighted	B-PROP
"	I-PROP
with	I-PROP
the	I-PROP
decision	I-PROP
.	O

"	O
These	O
two	O
are	O
among	O
some	O
of	O
the	O
most	O
extreme	O
anti	O
-	O
Muslim	O
activists	O
in	O
the	O
world	O
.	O

They	O
've	O
nothing	O
to	O
contribute	O
to	O
life	O
in	O
this	O
country	O
.	O

"	O
They	O
're	O
not	O
here	O
to	O
contribute	O
to	O
good	O
community	O
relations	O
.	O

They	O
only	O
wanted	O
to	O
come	O
here	O
and	O
help	O
the	O
EDL	O
stir	O
up	O
more	O
trouble	O
.	O

Britain	O
does	O
n't	O
need	O
more	O
hate	O
even	O
just	O
for	O
a	O
few	O
days	O
.	O
"	O

Mr	O
Spencer	O
put	O
up	O
a	O
copy	O
of	O
what	O
appears	O
to	O
be	O
the	O
exclusion	O
decision	O
from	O
the	O
Home	O
Office	O
on	O
the	O
Jihad	O
Watch	O
website	O
,	O
while	O
Ms	O
Geller	O
posted	O
a	O
copy	O
of	O
her	O
letter	O
on	O
her	O
website	O
,	O
Atlas	O
Shrugs	O
.	O

The	O
letters	O
,	O
both	O
dated	O
Tuesday	O
,	O
claim	O
that	O
both	O
activists	O
have	O
fallen	O
within	O
the	O
scope	O
of	O
a	O
list	O
of	O
unacceptable	O
behaviours	O
by	O
making	O
statements	O
which	O
may	O
"	O
foster	O
hatred	O
"	O
and	O
lead	O
to	O
"	O
inter	O
-	O
community	O
violence	O
"	O
in	O
the	O
UK	O
.	O

Both	O
letters	O
gave	O
examples	O
of	O
anti	O
-	O
Muslim	O
views	O
stated	O
by	O
both	O
and	O
went	O
on	O
to	O
say	O
that	O
should	O
they	O
be	O
allowed	O
to	O
enter	O
the	O
UK	O
the	O
home	O
secretary	O
believes	O
they	O
would	O
"	O
continue	O
to	O
espouse	O
such	O
views	O
"	O
.	O

Kate	O
Steinle	O
's	O
death	O
at	O
the	O
hands	O
of	O
a	O
Mexican	O
national	O
became	O
a	O
flashpoint	O
in	O
the	O
immigration	O
debate	O
—	O
here	O
's	O
the	O
story	O
behind	O
her	O
killing	O

The	O
surprise	O
acquittal	O
of	O
Jose	O
Ines	O
Garcia	O
Zarate	O
in	O
the	O
shooting	O
death	O
of	O
San	O
Francisco	O
woman	O
Kate	O
Steinle	O
set	O
off	O
a	O
firestorm	B-PROP
of	I-PROP
outrage	I-PROP
Thursday	O
night	O
,	O
as	O
top	O
conservatives	O
and	O
critics	O
of	O
so	O
-	O
called	O
"	O
sanctuary	O
cities	O
"	O
pinned	B-PROP
blame	I-PROP
for	I-PROP
Steinle	I-PROP
's	I-PROP
death	I-PROP
on	I-PROP
illegal	I-PROP
immigration	I-PROP
and	I-PROP
insufficiently	I-PROP
aggressive	I-PROP
deportation	I-PROP
policies	I-PROP
.	O

Garcia	O
Zarate	O
,	O
a	O
45	O
-	O
year	O
-	O
old	O
Mexican	O
national	O
who	O
was	O
homeless	O
and	O
living	O
in	O
the	O
US	O
illegally	O
when	O
he	O
fired	O
the	O
shot	O
that	O
killed	O
Steinle	O
,	O
was	O
acquitted	O
by	O
a	O
jury	O
on	O
murder	O
and	O
manslaughter	O
charges	O
.	O

The	O
jury	O
convicted	O
him	O
of	O
the	O
lesser	O
charge	O
of	O
being	O
a	O
felon	O
in	O
possession	O
of	O
a	O
gun	O
,	O
which	O
carries	O
a	O
maximum	O
sentence	O
of	O
three	O
years	O
in	O
state	O
prison	O
.	O

Steinle	O
,	O
32	O
,	O
was	O
fatally	O
shot	O
while	O
she	O
walked	O
along	O
Pier	O
14	O
of	O
the	O
San	O
Francisco	O
Bay	O
with	O
her	O
father	O
in	O
July	O
2015	O
.	O

The	O
bullet	O
that	O
pierced	O
her	O
back	O
had	O
ricocheted	O
off	O
the	O
concrete	O
ground	O
after	O
it	O
was	O
fired	O
by	O
Garcia	O
Zarate	O
from	O
a	O
handgun	O
belonging	O
to	O
a	O
federal	O
ranger	O
that	O
had	O
been	O
stolen	O
four	O
days	O
earlier	O
.	O

Garcia	O
Zarate	O
's	O
defense	O
attorneys	O
argued	O
that	O
the	O
shooting	O
was	O
an	O
accident	O
—	O
they	O
said	O
he	O
found	O
the	O
gun	O
wrapped	O
in	O
a	O
T	O
-	O
shirt	O
or	O
cloth	O
under	O
a	O
pier	O
bench	O
and	O
unintentionally	O
discharged	O
it	O
.	O

Lead	O
attorney	O
Matt	O
Gonzalez	O
has	O
argued	O
that	O
the	O
weapon	O
was	O
a	O
SIG	O
Sauer	O
with	O
a	O
"	O
hair	B-PROP
trigger	I-PROP
in	I-PROP
single	I-PROP
-	I-PROP
action	I-PROP
mode	I-PROP
