111111114	1705	1824
111111117	671	753
111111131	84	97
111111131	102	109
111111131	180	190
111111131	207	214
111111131	326	336
111111131	352	365
111111131	382	395
111111131	398	413
111111131	723	731
111111131	804	811
111111131	823	865
111111131	1030	1068
111111131	1977	1992
111111131	2660	2671
111111131	2728	2739
111111131	2897	2908
111111131	2912	2924
111111131	2952	2997
111111131	3396	3416
111111131	3437	3455
111111131	3738	3748
111111131	4008	4014
111111131	4030	4038
111111131	4152	4169
111111131	4224	4230
111111131	4256	4264
111111131	4339	4352
111111131	4531	4546
111111131	4635	4643
111111131	4752	4768
111111131	4882	4899
111111131	5174	5186
111111131	5244	5262
111111131	5281	5289
111111131	5368	5402
111111131	5904	5916
111111131	5938	5950
111111131	6920	6937
111111131	6957	6971
111111131	7314	7324
111111131	7700	7708
111111137	143	183
111111137	2058	2064
111111137	2320	2333
696694316	603	661
696694316	1020	1094
696694316	3276	3379
696694316	3471	3608
696694316	3610	4009
696694316	4376	4395
696694316	4423	4440
696694316	4478	4500
696694316	7026	7097
696694316	7631	7780
696694316	7971	8295
696694316	8298	8640
696694316	9373	9584
696694316	9586	9819
696694316	10661	10866
696694316	11102	11126
696694316	12634	12736
696694316	12738	12848
696694316	13262	13316
696694316	13456	13555
697444415	512	539
697444415	1471	1596
697444415	2815	2860
697444415	2959	3022
698018235	305	335
698018235	555	581
698018235	641	652
698018235	657	687
698018235	975	1047
698018235	1482	1493
698018235	1658	1881
698018235	1910	1919
698018235	2132	2410
698018235	2431	2460
698018235	2723	2730
698018235	2917	3000
698018235	3283	3380
698018235	3514	3649
698719689	131	144
698719689	190	321
698719689	1440	1449
698719689	1542	1611
698719689	2324	2335
700461600	717	760
700461600	1547	1745
700461600	2318	2496
700461600	2726	2787
700461600	2805	2868
700461600	3073	3255
700461600	3548	3559
700461600	3963	4080
700461600	4209	4426
700461600	4506	4530
700461600	4657	4709
701225819	77	99
701225819	111	143
701225819	177	187
701225819	305	313
701225819	996	1017
701225819	1201	1299
701225819	1493	1603
701225819	1767	1771
701225819	1872	1889
701225819	1967	1986
701225819	2174	2182
701225819	2616	2621
701225819	2689	2694
701225819	2747	2752
701225819	2787	2792
701225819	2982	2991
701225819	3309	3315
701225819	3523	3541
701225819	3787	3803
701225819	3837	3860
701225819	4268	4313
701225819	4606	4636
701225819	4720	4737
701225819	5914	5927
701225819	6102	6112
701553469	31	41
701553469	77	143
701553469	205	209
701553469	288	302
701553469	351	361
701553469	1716	1744
701553469	1864	1887
701553469	1983	2143
701553469	2486	2651
701553469	2666	2781
701553469	3139	3159
701553469	3455	3476
701553469	3695	3715
701553469	3898	3916
701553469	4175	4280
701837665	761	801
701837665	803	833
701837665	1364	1449
701837665	1806	2008
701837665	2456	2470
701837665	2534	2575
701837665	2618	2726
701837665	2740	2762
701837665	2792	2940
701837665	2942	2991
701837665	3251	3423
701837665	3510	3534
701837665	3824	3883
701837665	3958	4067
701837665	5040	5084
701837665	5821	5840
701837665	6697	6873
701837665	7193	7357
701837665	7401	7455
701837665	7529	7666
701837665	7727	7746
701837665	7785	7841
701837665	8115	8155
701837665	8276	8312
701837665	8453	8556
701837665	9299	9329
701837665	9331	9371
701837665	9425	9433
701837665	9471	9500
701837665	9741	9756
701837665	9780	9814
701837665	10090	10206
701837665	10208	10227
701837665	10802	10972
701837665	11844	11915
701837665	11964	12007
701837665	12031	12047
701837665	12178	12197
701837665	12381	12476
701837665	12594	12665
703821117	114	174
703821117	179	236
703821117	472	532
703821117	833	880
703821117	2350	2366
703821117	2475	2523
703821117	3368	3383
703821117	3483	3500
703821117	3519	3571
703821117	3893	3974
703821117	5022	5095
703821117	5281	5373
703821117	6046	6098
703821117	6445	6453
703821117	6520	6578
703821117	6580	6609
703821117	6620	6637
703821117	7264	7314
703821117	7674	7693
703821117	10469	10570
703821117	10572	10680
703821117	10697	10805
703821117	10820	10845
703821117	10860	10995
703821117	11087	11097
703821117	11099	11105
703821117	11221	11328
703821117	11655	11671
703821117	12003	12039
703821117	12149	12242
703821117	12349	12363
703821117	13152	13166
703821117	13316	13369
703821117	13682	13691
703821117	13902	13958
703821117	13960	14030
703821117	14142	14158
703821117	14419	14458
703821117	14511	14640
703821117	14653	14658
703821117	14752	14920
703821117	15047	15069
703821117	15216	15279
703821117	15785	15851
703821117	16195	16231
703821117	16335	16411
703821117	16781	16835
703821117	16976	17013
703821117	17016	17047
703821117	17150	17244
703821117	17552	17689
703821117	18269	18323
703821117	18378	18396
703821117	18447	18550
703821117	18604	18639
704591553	71	103
704591553	238	265
704591553	278	285
704591553	697	822
704591553	933	954
704591553	1016	1029
704591553	1125	1141
704591553	1280	1292
704591553	1696	1718
704591553	1805	1832
704591553	1868	1883
704591553	1999	2059
704591553	2180	2228
704591553	2765	2780
704591553	2802	2816
704591553	3153	3163
704591553	3221	3359
704591553	3827	3881
704591553	3883	3911
